SKU;NOME;EMAIL;WHATS;CIDADE;SEGMENTO
1;MEDCELL LABORATORIO DE ANALISES CLINICAS SIMPLES LTDA;laboratoriomedcell@hotmail.com;;AGUDOS;
6;LABORATORIO DE ANALISES CLINICAS QUIEZIE & QUIEZIE LTDA-EPP;contato@laboratorioassisense.com.br;;ASSIS;
50;LAB.ANAL.CLIN. SAO PAULO S/C LTDA;labsp@terra.com.br;;ADAMANTINA;LABORATORIO
56;SANTA CASA DE MISERICORDIA DE ANDRADAS;compras@sacmamg.com.br;;ANDRADAS;HOSPITAL
58;LAB.DR.JOELSON LTDA;labjoel@uol.com.br;;ASSIS;
66;ASSOCIACAO BENEFICENTE DE BASTOS;hospbastos@acibastos.com.br;;BASTOS;
68;INST DE PAT CIR E CIT DR NICOLINO LIA NETO LTDA;ipcclab@ipcresultados.com.br;;ARARAQUARA;LABORATORIO
79;PHARMACIA MANIFORMULA DE BARIRI LTDA ME;;;BARIRI;
105;BIOLAB. LAB. ANAL. CLIN. SC  LTDA;magalibertanha@hotmail.com;;CERQUILHO;
118;LABORATORIO TRIANON LTDA;conveniotrianon@hotmail.com;;DRACENA;LABORATORIO
119;LABORATORIO DE ANALISES CLINICAS CARVALHO S/S LTDA;labcarvalhodc@gmail.com;;DOIS CORREGOS;LABORATORIO
121;IRMANDADE STA CASA DE MIS.E MAT.DE DRACENA;compras01_santacasadracena@hotmail.com;;DRACENA;
124;NARVAES E PERINAZZO S/C LTDA;administrativo@laboratoriodracena.com;;DRACENA;
192;LABORATORIO VIEIRA MAIA EIRELI;qualidade@lacdiagnose.com.br;;PROMISSAO;LABORATORIO
194;LABORATORIO SAO JOSE  SC LTDA.;saojoselab@hotmail.com;;ITAPIRA;
222;LAB. JUNQUEIROPOLIS ANAL. CLIN.;laboratoriojunqueiropolis@bol.com.br;;JUNQUEIROPOLIS;
229;ASSOCIACAO BENEF. HOSP. N. S. PIEDADE;financeiro@hpiedade.com.br;;LENCOIS PAULISTA;
242;DR. CARLOS A. DE ALMEIDA TRONCON;;;LUCELIA;
262;LABORATORIO DE ANALISES CLINICAS DR ALAUR LTDA;labormed.marilia@yahoo.com.br;;MARILIA;
265;IRMANDADE DA SANTA CASA MACATUBA;rhueb@hotmail.com;;MACATUBA;HOSPITAL
269;LAB.ANAL.CLIN.SAO JUDAS TADEU S/C LTDA.;laboratoriosjt@terra.com.br;;MOGI-GUACU;LABORATORIO
278;LAB. OSWALDO CRUZ DE ANALISES CLINICAS SC  LTDA;financeiro@labosvaldocruz.com;;MARILIA;LABORATORIO
286;LABORATORIO SANTA CRUZ ANALISE CLINICA SS LTDA;contato@labsantacruz.com;;MOGI-GUACU;
294;ASSOCIACAO DE ENSINO DE MARILIA LTDA.;fabiomanhoso@unimar.br;;MARILIA;FACULDADE
315;SANTA CASA DE MISERICORDIA DE PALMITAL tercerizou ;compras@santacasapalmital-sp.com.br;;PALMITAL;HOSPITAL
