SKU;NOME;EMAIL;WHATS;CIDADE;SEGMENTO;
171;HOSPITAL BENEFICENTE SAO JOSE;hospitalbsaojose@hotmail.com;;HERCULANDIA;;
197;LAB.ANAL.CLIN.DE ITAPETININGA;acaruj@globo.com;;ITAPETININGA;;
311;CENTRO DE ANAL.CLIN. UNILAB  SC LTDA.;marcia@laboratoriounilab.com.br;;PRESIDENTE PRUDENTE;;
325;EXAME-LABORAT. DE ANAL. CLIN. CITODIAGNOSTICO S/S LTDA;luizernesto@laboratorioexame.com;;PRESIDENTE PRUDENTE;;
335;LABORATORIO VIDA  S/S LTDA;laboratorio.vida@yahoo.com.br;;PEDERNEIRAS;;
364;VITALIS LAB.ANAL.CLIN.S/C LTDA;vitalisitatinga@hotmail.com;;ITATINGA;;
380;SANTA CASA DE CARIDADE DE GUARANESIA;lucia.avelino@yahoo.com.br;;GUARANESIA;;
412;LAB.ANAL.CLIN.SAO MANUEL SC LTDA.;lab.sm@bol.com.br;;SAO MANUEL;;
432;LABORATORIO PASTEUR HEMATOLOGIA E MICROBIOLOGIA S/S LTDA;laboratorio.pasteur@terra.com.br;;SÃO CARLOS;;
463;MASUDA & MASUDA LABORATORIO CLINICO LTDA;ltlabanalisesclinicas_pb@hotmail.com;;PEREIRA BARRETO;;
474;LABORATI LAB. ANAL. CLIN. TIETE S/C LTDA.;contato@laboratoriolaborati.com.br;;TIETE;;
475;LABORATORIO DE ANALISES CLINICAS SRC LTDA;faturamento.laboratoriosrc@gmail.com;;CATANDUVA;;
480;LAB SAO LUCAS;labsaolucas229@gmail.com;;TABATINGA;;
516;TECNOLAB PATOLOGIA CLINICA S/C LTDA;juliana.morais@tecnolabnet.com.br;;BAURU;;
572;LABORATORIO MULTIANALISES LTDA-ME;multianaliseslaboratorio1@hotmail.com;;ITAPOLIS;;
575;DR MUNHOZ HOSPITAL VETERINARIO E PET SHOP;adrianacavicchioli@yahoo.com.br;;ITAPOLIS;;
581;CLINILAB LABORAT. ANAL. CLIN SC LTDA;clinilab_ibi@hotmail.com;;IBITINGA;;
618;LAB. ANAL. CLIN. POMPEIA;lacpompeia@hotmail.com;;POMPEIA;;
620;LAB.SAO PAULO DE ANAL.CLIN.SC LTDA.;laboratoriosaopaulo@hotmail.com;;PIRAJU;;
663;LAB. MEDICO GUIMARAES;naylakrol@hotmail.com;;TUPA;;
668;INSTITUTO DE HEMATOLOGIA SC LTDA.;ihfsetortecnico@hotmail.com;;FERNANDOPOLIS;;
687;LAB ANAL CLIN VENDRAMINI S/S LTDA;diretoria@labvendramini.com.br;;JOSE BONIFACIO;;
690;SAO ROQUE MEDICINA DIAGNOSTICA LTDA EPP;compras@medsaoroque.com.br;;JALES;;
